NAME,POPESTIMATE2010
Alabama,4785161
Alaska,714021
Arizona,6408208
Arkansas,2922394
California,37334079
Colorado,5048254
Connecticut,3579717
Delaware,899791
District of Columbia,605126
Florida,18849890
Georgia,9713454
Hawaii,1363980
Idaho,1570986
Illinois,12841249
Indiana,6490590
Iowa,3050694
Kansas,2858824
Kentucky,4347937
Louisiana,4544951
Maine,1327695
Maryland,5788409
Massachusetts,6565036
Michigan,9877369
Minnesota,5310903
Mississippi,2970316
Missouri,5996052
Montana,990643
Nebraska,1830025
Nevada,2703440
New Hampshire,1316708
New Jersey,8803881
New Mexico,2064741
New York,19402920
North Carolina,9558979
North Dakota,674530
Ohio,11540766
Oklahoma,3759596
Oregon,3837972
Pennsylvania,12712014
Rhode Island,1053219
South Carolina,4635894
South Dakota,816299
Tennessee,6356585
Texas,25244363
Utah,2775426
Vermont,625984
Virginia,8025787
Washington,6743060
West Virginia,1854225
Wisconsin,5690204
Wyoming,564516
Puerto Rico,3721526
