col1,Code,Start,end,Min,Max,location,weapons,town,governorate,alt_province,district,alt_district,Cause_of_Death,morgue_cumulative,princeton_disaggregated,princeton_supplement,sect_type1,sect_type2,sect_type3,sect_type4,sect_type5,event,ph,coalition,insurgent,sectarian,unknown,reasons
18478,k1544,01 Jul 05,,3,3,"near Al-Doreen mosque, Allawi al-Hilla, Baghdad",gunfire,Baghdad (1),Baghdad,,,,Gunfire [-],,,,1,0,0,0,0,1,0,0,0,1,0,"Distinct incident, sub-governorate location information indeterminate"
8911,k6276f,03 May 07,,2,2,"Jaiafir, Baghdad",-,Baghdad (1),Baghdad,,,,,,yes,,0,0,0,0,1,1,0,0,0,0,1,"Distinct incident, sub-governorate location information indeterminate"
14058,k3823,31 Aug 06,,67,67,east Baghdad,"car bombs, mortar rounds, rockets, roadside bomb, bomb in building",Baghdad (1),Baghdad,,,,"Mortar round(s) [-], Rocket(s) [-], Bombs [-], Car bomb(s) [-], Roadside bomb(s) [-]",,,,0,1,1,0,0,1,0,0,0,1,0,"Aggregated casualty report, no sub-governorate location information available in source"
167,k13407,26 May 09,,7,7,west Anbar,gunfire,,Anbar,,,,Gunfire [-],,,,1,0,0,0,0,1,0,0,0,1,0,"Distinct incident, no sub-governorate location information available in source"
3123,k9919,28 Mar 08,,7,7,Baghdad,"gunfire, executed, tortured",Baghdad (1),Baghdad,,,,"Gunfire [-], Tortured [-], Executed [-]",,,,1,0,0,1,0,1,0,0,0,1,0,
18787,c0255,13 May 05,14 May 05,1,1,Baghdad,"gunfire, tortured, executed",Baghdad,Baghdad,,,,"Gunfire [Iraqi police commandos], Tortured [Iraqi police commandos], Executed [Iraqi police commandos]",,,yes,0,0,0,0,1,1,0,1,0,0,0,"Distinct incident, no sub-governorate location information available in source"
11269,d1409,17 Jan 07,,0,7,"Al Jazeera district, north of Muqdadiya",US helicopter strike,Al Miqdadiyah (2),Diyala,,,,Helicopter  [US Forces],,,,0,0,0,0,1,1,0,1,0,0,0,"Distinct incident, sub-governorate location information indeterminate"
12576,k4647,20 Nov 06,,1,1,central Baghdad,bomb,Baghdad (1),Baghdad,,,,Bombs [Anti-coalition agents],,,,0,0,0,0,1,1,0,0,1,0,0,"Distinct incident, sub-governorate location information indeterminate"
9060,d2909,28 Apr 07,,2,2,outside Kirkuk,gunfire,Kirkuk (2),Tameem,,,,Gunfire [-],,,,1,0,0,0,0,1,0,0,0,1,0,"Distinct incident, sub-governorate location information indeterminate"
15954,k2991d,05 May 06,,1,1,Baghdad,,Baghdad (1),Baghdad,,,,,,yes,,0,0,0,0,1,1,0,0,0,0,1,"Distinct incident, no sub-governorate location information available in source"
