District,Governorate,elec_instability,network_primary,net_instability,sewer_prob,refuse_index,street_light,street_light_02,street_light_change,pub_garbage,police_d,pub_serv_d,phone_index,road_qual,kid_safety,clan_ties,jamiyya,pub_serv_in,damage,renters,wealthin,inc_2003,inc_2004,inc_2002,inc_2003_qcap,inc_2004_qcap,inc_2002_qcap,dif_02_03,dif_03_04,dif_02_04,inc_dd,dif_02_03_qcap,dif_03_04_qcap,dif_02_04_qcap,inc_dd_qcap,missing,share_generator,percent_grid,victim,relatives,coalition,police,community,militia,nobody,hh_count
Abu Al-Khaseeb,Basrah,2.4182725,.000044556007,2.4182725,2.282829,3.8585398,1.1150925,1.1735046,-.058412105,.19111298,1.6658823,.19543883,.39187366,3.5573635,3.4055536,2.2573555,1,8.6319323,.11404312,5.4211359,7.6624746,2789838.802221371,135043.6600148097,1272125.540034019,3.6870494,3.7171023,2.9385393,1531521.3,764053.19,2273287.3,-761519,.74438167,.030052692,.77483082,-.71393251,.0768245256852234,.0176084005176269,22443.66207885742,.0192782867824186,.4809709857834283,.0192782867824186,.8196888033389713,.0193215755119394,0,.0385565735648372,22443.66207885742
Abu Ghraib,Baghdad,4.0997367,.000055773962,4.0997367,3,4.5234346,1,1.2186565,-.21865657,0,3.0223596,.12868112,.30039403,2.6218252,3.575422,2.5864661,1.0826728,6.6278462,.11233027,1.5893219,9.2474337,3373541.023539898,162587.2737364151,2844952.054244245,3.116102,3.3667195,3.849251,497090.09,985079.06,953928.94,235454.28,-.69615406,.26792687,-.53575146,.88876837,.025030378622015,.1606272786838782,17929.51370239258,0,.7929132534058043,.0315121280323549,.6821376672692251,.0681111092265234,0,0,17929.51370239258
Adhamiya,Baghdad,4.0672851,7.7181330e-06,4.0672851,1.7130358,3.9497442,1.566095,1.7331442,-.1618675,.59682506,1.658839,.17059553,.82540113,4.6465883,2.8323226,2.0685158,1.0149845,9.493968,.12727419,3.4114716,9.7164392,2844000.594248262,144519.9210935642,1885694.884879997,3.2227716,3.4168351,3.4654422,798856.69,973497.13,1797486.3,208417.38,-.23018135,.18606056,-.025190201,.41710946,.0624233672309857,.1585312687659804,125865.8937225342,.0300448943126974,.522248642165822,.0104818642795952,.8153749503765624,.0056752632223273,0,.0541557829308179,127702.0588226318
Afaq,Qadissiya,4.463635,.00025175742,4.463635,,3.4832642,1,1,0,0,3.8468146,.073174849,0,2.0481503,3.2139478,2.7860522,1.0207394,2.1984906,.020739401,6.2847867,4.0125527,2587063.286913238,105965.4379981192,1937880.704760275,2.7735963,2.4694967,3.2483962,621729.31,207004.08,827079.31,-423364.75,-.43770322,-.35769215,-.77889937,.080011055,.0240751595605485,0,2518.688102722168,0,.8819285589701116,0,.3151600014790953,.025530879335945,0,0,3162.977066040039
Ain Al-Tamur,Kerbala,4.0999999,.0011468912,4.0999999,,3.4000001,1,1.5,-.5,0,2.0999999,.14004329,.1,2,3.4000001,2.8,1,6.8000002,0,1,7.0999999,2182200,140375,1222222.222222222,2.7,3.0999999,2.4000001,952444.44,1467550,2558611,653722.25,.30000001,.40000001,.69999999,.1,0,0,871.9223022460938,0,.8,0,.5,0,0,0,871.9223022460938
Akre,Ninewa,3.190726,.000066801535,3.190726,1.1033201,3.0419254,1.0940094,1.1102548,-.014622054,.41530675,2.4146416,.13664648,.075543307,2.3876894,3.6086638,2.6834593,1.0235277,6.6524858,.026781317,2.0615046,5.2488995,2766663.601386277,123283.9930007553,1685037.962427014,2.9016128,2.6164632,2.7598212,728646.81,367826.41,1339028.5,-345351.19,-.23598352,.0154822,-.16405487,.24625795,.1290265564960931,.4687916067712493,13605.28052902222,0,.5459669028244679,.0100078850719476,.738500138940589,.0182966003440015,.1234381019804592,0,14271.20135498047
Al Resafa,Baghdad,3.8079019,6.7430879e-06,3.8079019,1.8031086,3.5105364,1.7427514,1.9359872,-.20582221,.55933064,2.1234198,.16713749,.82551211,4.4599204,2.2602253,1.9311508,1.0240115,10.366429,.087672964,2.8040652,9.2323809,2499875.221849135,130226.3025270397,1661504.560964866,3.0618529,3.1646545,3.0991611,857300.81,938194.13,1702180.8,96790.352,.058683764,.09532737,.087643847,.022524508,.0603672138526125,.0709028942273768,144263.5513458252,.0235901312646922,.4074341936670621,.0204335608247778,.7764595069392738,.0395457343295549,0,.0493901078780826,146267.855255127
Al Sadr,Baghdad,4.0004816,2.9907144e-06,4.0004816,1.8792366,3.6765149,1.6379851,1.76091,-.12042016,.39364961,2.0940607,.15573213,.60944092,4.5066433,2.0740566,2.2308319,1.0239693,8.3635855,.10532556,5.8748384,7.4246502,2139359.201666219,99049.07928148288,1492936.677600589,2.6837022,2.5830219,2.9710422,539041.94,467143.84,1000225.6,-57179.324,-.29532382,-.08565326,-.37994727,.22742328,.0765841299410092,.0246683983162196,313779.3037414551,.0159176881973894,.5368084006401535,.0065180614746595,.7260498579634771,.0669310653848035,0,.0203449055293813,323910.2430114746
Al-Chibayish,Thi-Qar,2.2485511,.00034339871,2.2485511,2,4.8000002,2.0366771,2.2576802,-.22100313,.026332289,1.3423197,.21071728,.14733543,3.7996864,4.2366772,2.7736678,1.0736678,8.3159876,0,.44200626,7.6470218,3311827.578286728,140259.6304738068,1771734.796123191,3.5736678,3.3789968,3.1316614,1540092.8,334922.81,1875015.6,-1205170,.44200626,-.19467084,.24733542,-.63667709,0,0,2760.723098754883,0,.9473354213417826,0,.5,0,0,0,2835.385284423828
Al-Daur,Salah al-Din,3.9095263,.000022968763,3.9095263,1.0794809,4.2894349,1.2448947,1.3199716,-.074168861,.25019762,1.8980536,.15720694,.30564222,4.0174637,3.7229166,2.6348541,1.0502938,8.6029997,.040266551,1.5613279,8.3640814,2850343.317503427,107141.1949177928,1833377.960247148,2.9877172,2.5545049,3.1101894,958488.13,-73616.703,873435.31,-1080676.5,-.099286474,-.55356628,-.61837965,-.4694601,.0329693558086205,.5017754999542924,36602.49953460693,.0087672572639683,.6426174101272004,.0088947228280246,.8787375358149923,.1878615196822717,0,.0424000901548853,39919.63589477539
Al-Hai,Wassit,4.8705497,.000058638612,4.8705497,2,3.5395811,1.1772734,1.2088867,-.031613316,.18607132,1.5257629,.20279498,.6084094,2.7732186,3.0936956,2.7729621,1.1512641,9.4611149,.048495445,1.2209808,8.1260633,3251886.380344231,156264.7421414767,2005772.504107571,2.8342366,2.8201878,3.0397933,1075993.5,851116.44,1930729.5,-136788.17,-.15031508,-.049209412,-.19877999,.090397194,.1722594470610386,.2915732053948164,14356.60652923584,.0079376877915534,.2880990851215674,.007715352948725,.8761734152287913,.02607208106273,0,.0060974891569673,15647.10708618164
Al-Hamdaniya,Ninewa,4.2364621,8.9764271e-06,4.2364621,1.182734,4.0965023,1.3630655,1.4087991,-.05155107,.57708424,1.8730285,.15508695,.55586886,4.3428965,3.6241534,2.075454,1.0804273,10.61673,.014212774,1.3837671,8.8869963,2826079.255387988,134864.2577359258,1830976.266298653,2.8628871,2.8589163,2.9251053,959708.69,762300.31,1651181,-139674.83,-.055679753,.029149115,-.067291595,.12006245,.0674022258251476,.7330276847178828,104257.0169830322,.019259232284785,.2589307883851776,.0097079846367865,.8971516563469757,.0205005048452886,.005656359485896,.0124905243588648,107770.7484893799
Al-Hawiga,Tameem,4.0807915,.00005173144,4.0807915,2.2404084,3.3229682,1.0435514,1.0380772,.005788689,.034531031,2.4033875,.13429168,.078883581,2.4909921,3.8484459,2.7005584,1.020871,6.9047952,.013105491,1.3903359,6.9217849,2806573.851643459,111830.2430215188,1948957.131929442,2.7495949,2.5016382,3.1672306,593198.38,91431.531,784569.69,-426331.09,-.41235882,-.26398686,-.68127477,.15009405,.0589023392958108,.3832648280169693,18321.85871124268,0,.7022971556470248,0,.4474958752514517,.0658097713734017,0,.0799637241586399,18819.47420501709
Al-Hindiya,Kerbala,3.900068,.000040525272,3.8844461,1.332866,3.6455224,1.1306944,1.0813372,.051040176,.048163466,2.3551645,.14890091,.14699255,2.7056844,3.4893732,2.6736586,1.0425392,7.5529947,.0835177,2.9586034,7.9259601,2796636.401192598,133469.9664213505,1693986.768110281,2.7588229,2.8543549,2.7441893,1075574.5,626179.5,1638293,-483903.13,.022851059,.08692769,.040239919,.064287238,.1064943591365491,.2173956330935932,23218.73947906494,.0079737465272439,.4898843809029005,0,.7006532102633787,.0194375750087896,0,.0177271789175422,23889.47578430176
Al-Ka'im,Anbar,2.7480452,.000076704629,2.7480452,1.1154552,4.6872559,1.475758,1.702127,-.22636904,.31015909,1.8634468,.16850123,1.1241683,3.6733756,3.8960571,2.7468531,1.124137,10.9302,.01278103,.038898695,7.8342004,3439366.807667149,186346.3911935382,2211480.569937028,3.252224,3.6265464,3.1045444,1216498.6,1460555.3,2667388.8,281308.16,.1770746,.31546232,.51579261,.10701774,.0535411976662995,.0075333902507938,12512.7239151001,.0383430921537113,.5123933749932036,0,.361014666012466,.1148211168089726,0,.0133581802713613,12772.18342590332
