Governorate,elec_instability,network_primary,net_instability,sewer_prob,refuse_index,street_light,street_light_02,street_light_change,pub_garbage,police_d,pub_serv_d,phone_index,road_qual,kid_safety,clan_ties,jamiyya,pub_serv_in,damage,renters,wealthin,inc_2003,inc_2004,inc_2002,inc_2003_qcap,inc_2004_qcap,inc_2002_qcap,dif_02_03,dif_03_04,dif_02_04,inc_dd,dif_02_03_qcap,dif_03_04_qcap,dif_02_04_qcap,inc_dd_qcap,missing,share_generator,percent_grid,victim,relatives,coalition,police,community,militia,nobody,hh_count
Anbar,3.847419,5.8935480e-06,3.847419,1.2659718,4.320725,1.3580523,1.4484172,-.090045534,.23730884,1.869056,.16343097,.7343201,3.7042134,3.2759013,2.6583953,1.0408826,8.7777023,.15993179,.40287584,8.2787628,3050238.057238041,152067.5251843227,1795525.06541558,2.8041568,2.9735391,2.761291,1175806.8,979828.25,2115633.3,-164637.3,.035445206,.182732,.19918661,.15707745,.0549140090055051,.5245074109907609,163040.6189842224,.0314023142162538,.6533573665314564,0,.5669442154794739,.1578471708538426,.0010257770043995,.0128872020434688,166325.7490959168
Babylon,3.8845198,4.8840679e-06,3.8845198,1.8354033,3.4309089,1.1331797,1.0857686,.047495011,.062242869,2.10466,.15223794,.29177433,2.4541008,2.8511069,2.3947675,1.0347562,6.6867881,.039800815,1.0930785,7.1697555,3111612.816058513,138980.5126108785,1585070.874394165,2.8942943,2.8760157,2.5974619,1477065.8,495045.66,1915978.8,-989137.81,.31469175,-.041084427,.27272981,-.35879412,.056370516636123,.4152140244870365,195549.4250030518,.0055815393162843,.4319176115848957,.0016533991721593,.7898264358548061,.0550263362682886,0,.0119957151711305,200095.5485534668
Baghdad,3.9326625,8.4640470e-07,3.930155,1.6945945,3.9365819,1.525578,1.6793762,-.1559089,.43910939,2.0671918,.15711652,.6634835,4.4281507,2.3868296,2.0529506,1.0407935,9.0916414,.081372291,3.6667676,8.8657465,2670088.623839133,126913.207723963,1785088.494507155,3.0668902,3.0615661,3.248657,793323.63,658086.38,1420309.5,-123566.71,-.16652851,-.0057952129,-.17804646,.16943601,.0691196369824208,.1080655500125939,1136176.463279724,.019426929641128,.4968278555698482,.0122541167498697,.7441983100218395,.0629016284755643,.0005840629413995,.0285285470372981,1158237.780036926
Basrah,2.5731163,2.9871676e-06,2.5731163,1.9583752,3.4105051,1.4225583,1.250608,.17426588,.073421866,1.7280588,.17481442,.38996458,3.389257,3.147536,2.1362114,1.0012894,7.5773149,.12832591,5.0485439,7.2131052,2717489.649442304,137883.2538469777,1341085.015982084,3.3462944,3.453053,2.8184502,1354344.6,887513.06,2227689.5,-474906.22,.54273868,.11168994,.62818104,-.43299717,.0723741244499894,.0721243464229318,326129.420791626,.0103206404131762,.6275062343345791,.0249903038436882,.6822013484626474,.0606119745549763,.0073264738674927,.0242479805021121,330419.1393737793
Dahuk,1.6967174,.000019538707,1.6949139,1.1885982,4.3027225,1.5854608,1.556004,.014067736,.85801291,1.6826001,.18733536,.29085496,3.7762308,3.8452616,2.3906636,1.0127829,10.842884,.075622112,2.0188966,8.3392715,3119805.348458742,155958.030884115,2056128.150737624,3.17081,3.1812031,3.1487455,830623.06,1091124.6,1814555.3,296395.34,-.15954334,.23400138,.031695802,.42219818,.066539874008522,.5506820781720059,41580.67422485352,.0041875048960567,.5032917626282436,.004894441685921,.9229462820167713,.0064553399364997,.0840134365328267,.0017284047697673,46089.97478866577
Diyala,3.9462216,4.4264143e-06,3.9462216,1.5065759,2.830605,1.1157446,1.1160798,-.00012143307,.21906781,2.2857637,.14314155,.28511536,2.8410389,3.1120865,2.6048098,1.0290902,7.3640242,.038278904,1.7415195,6.9485478,3065721.830623429,128286.4299761043,1614988.255689517,3.0068681,2.8646641,2.7701552,1276587,301574.81,1577214.5,-938856.69,.27113977,-.14961283,.11408669,-.42597994,.0516127729491723,.3953574370960655,207491.142868042,.0142990330500423,.6860279082117551,.002958187673551,.7794701108899863,.0576088570189715,.031681833886899,.0007097376890603,216507.9024658203
Erbil,3.923898,3.7856405e-06,3.923898,1.4966028,4.0726981,1.5177108,1.5071317,-.0011044425,.93385828,1.8788043,.16547316,.31783515,3.9609065,3.2789764,2.0670056,1.0362256,9.142869,.091276102,1.9858606,9.3847809,3331082.255322564,170393.1958328596,1947239.107921618,3.4184244,3.5762897,3.4452338,1262125.1,1164574.6,2361223.5,-52005.699,.016513484,.10743499,.088815086,.17405021,.0380130465154895,.0447261703265737,233625.2564834356,.0080048897076351,.3315120387079525,.0195412266042179,.9357317106511005,.0678687227363773,.0413703459825786,.0032024151978212,248422.0959107876
Kerbala,3.9296198,9.5855949e-06,3.9259729,1.6177976,3.8322132,1.4909058,1.2208287,.26964247,.056899209,1.7601341,.17297934,.25760278,2.8783207,2.8596196,2.150351,1.0652156,8.0842066,.086273968,2.1341903,7.9237971,2851244.209177305,138120.9660889147,1766079.206080786,2.9003215,2.934052,2.8804564,1090419.6,700921.5,1768514.5,-415618.22,.053862073,.040281042,.028253486,.0013743079,.0893693051524579,.2774771983604706,99457.8722076416,.0100430966148959,.387482003879226,.0030816894983043,.7622717622744457,.0181041724737377,.0011003936523851,.033506005104078,101815.0514678955
Missan,3.0829132,8.2057313e-06,3.0829132,1.6617023,3.7289615,1.7122505,1.5890208,.12355088,.10589991,1.898218,.17863888,.32086894,3.2537951,2.833288,2.4832087,1.0150878,8.4469423,.053817369,.18839678,6.769351,3137004.239977175,146267.0948218923,1670086.723397262,3.0947869,3.1566439,2.7453308,1435598.3,734842.25,2121469.5,-673195.63,.36763096,.061602935,.42456427,-.29681471,.0253998390846481,.0213784566549085,114562.8697814941,.0077950086939314,.7943269270507354,.0076923698130424,.4093331817760254,.1225414834295907,.0033806637082063,0,118158.0425262451
Muthanna,3.1364758,.000014066927,3.1364758,1.8753122,3.7095299,1.3037672,1.2106026,.093470834,.24118099,2.3088369,.14761469,.45929208,3.1276,3.3011563,2.4941714,1.0729853,7.6686072,.12942374,.76830196,6.2796135,2158784.634534385,99911.40301755823,1316309.518634633,2.0216634,2.1380212,2.1082649,821506.69,488197.84,1271407.1,-290034.88,-.08572422,.15457331,.054379344,.23652273,.0925675476388375,.0308084803204559,65527.32440948486,.014600893744854,.6739601093308102,.0171007745846873,.6744096296230252,.234423639951466,.0034632076432848,.0103927507495647,68251.40453720093
Najaf,4.1623573,6.7781698e-06,4.1623573,1.8747855,3.6178777,1.219435,1.1390465,.075392343,.09820506,1.7901055,.17530607,.44894528,3.5096266,3.1346645,2.1405222,1.0913138,9.0281086,.24313149,3.8078556,7.0816169,2484659.324179504,109216.7391497874,1598408.900569438,2.8835397,2.7722144,3.097147,786046.25,376378.09,1182483.9,-384583.56,-.2106778,-.12166402,-.32965216,.087120563,.1088588387754501,.5096721744258831,140476.3516082764,.0174986735914036,.6906734444346057,.032263008489961,.8193316171523102,.1729418514082826,.008015956846387,.0351546417390169,143961.1804962158
Ninewa,4.2332339,2.6279533e-06,4.2287874,1.4034301,3.7582219,1.2486398,1.2998087,-.054938294,.46469235,2.1924231,.13596003,.41104797,3.6746366,3.7875276,2.4436157,1.0467354,8.5098972,.078368679,2.468086,7.5812688,2635955.372612842,123599.040885381,1797040.12825707,2.6026101,2.6281576,2.92114,704315.25,624232.56,1319773.6,-46056.367,-.31715372,.033418976,-.30085585,.35784072,.0627053843429287,.5713402030459337,349548.7877998352,.0110313558737692,.4305264721424673,.0065978372354777,.8129524256760161,.0382119014689153,.0135518036577914,.0209569920249787,364377.8269805908
