district,sunni_pop_CIA_1978,kurd_pop_CIA_1978,shia_pop_CIA_1978,total_pop_CIA_1978,sunni_pop_CIA_2003,kurd_pop_CIA_2003,shia_pop_CIA_2003,total_pop_CIA_2003,sunni_pop_CIA_1992,kurd_pop_CIA_1992,shia_pop_CIA_1992,total_pop_CIA_1992,landscan_pop,shiapop,sunnipop,kurdpop,xtianpop,turcpop,mixedpop
Abu Al-Khaseeb,0,0,164183,164183,0,0,164183,164183,0,0,164183,164183,164183,173238,0,0,0,0,0
Abu Ghraib,53956.5,0,53956.5,107913,55615.5,0,52297.5,107913,103248.5,0,4664.5,107913,107913,133,34660,0,0,0,71106
Adhamiya,492164.5,0,488086.5,980251,493377,0,489299,982676,494009.5,0,486241.5,980251,1019684,126558,67416,0,0,0,748422
Afaq,0,0,129709,129709,0,0,129709,129709,0,0,129709,129709,129709,134863,0,0,0,0,0
Ain Al-Tamur,4031,0,19145,23176,10132,0,0,10132,35,0,23141,23176,23176,23080,93,0,0,0,0
Akre,0,27131,0,27131,0,27131,0,27131,0,27131,0,27131,27131,0,123,24586,1744,0,0
Al Resafa,540939,0,537425,1078364,540952.5,0,537438.5,1078391,540939,0,537425,1078364,1055348,32489,11166,0,0,0,1142740
Al Sadr,337430.5,0,1135059.5,1472490,337430.5,0,1135059.5,1472490,337430.5,0,1135059.5,1472490,1490567,783099,0,0,0,0,642331
Al-Ba'aj,111111,0,0,111111,82276.5,14456.5,0,96733,46983,63261,0,110244,111111,0,111363,0,0,0,0
Al-Chibayish,0,0,55515,55515,0,0,55515,55515,0,0,55515,55515,55515,52763,0,826,0,0,0
Al-Daur,221277,0,0,221277,152492.5,0,68784.5,221277,134971,181.5,86213.5,221366,221277,1945,63935,3056,0,0,152186
Al-Hai,0,0,155651,155651,0,0,155651,155651,0,0,155651,155651,155651,155549,0,0,0,0,0
Al-Hamdaniya,309316,359480,0,675732,225877.5,449497.5,0,675375,7.5,665117.5,0,665125,665125,0,122923,587984,21907,2188,0
Al-Hawiga,141376,48121,0,189497,158099.5,36150.5,0,194250,78063,107108,0,185171,185849,0,99349,90764,0,0,0
Al-Hindiya,0,0,215087,215087,0,0,215087,215087,0,0,215087,215087,215087,215570,0,0,0,0,0
Al-Ka'im,105643,0,0,105643,104572,2,0,104574,105643,0,0,105643,105643,0,105196,729,0,0,0
Al-Kahla,0,0,44045,44045,0,0,43859,43859,0,0,44045,44045,44045,42424,0,0,0,0,0
Al-Khalis,90863.5,0,20.5,90884,55614,0,35270,90884,54626.5,0,36257.5,90884,90884,53626,32330,700,0,0,4236
Al-Khidhir,0,0,77186,77186,0,0,76807,76807,0,0,77186,77186,77186,77431,0,0,0,0,0
Al-Mahawil,0,0,193420,193420,2267.5,0,191152.5,193420,0,0,193420,193420,193420,156925,7185,0,0,0,32060
Al-Maimouna,0,0,94188,94188,0,0,94188,94188,0,0,94188,94188,94188,93126,0,0,0,0,0
Al-Manathera,0,0,177303,177303,0,0,177303,177303,0,0,177303,177303,177303,177438,0,0,0,0,0
Al-Mejar Al-Kabi,0,0,114879,114879,0,0,114879,114879,0,0,114879,114879,114879,116298,0,0,0,0,0
Al-Midaina,0,0,219283,219283,0,0,219283,219283,0,0,219283,219283,219283,220431,0,117,0,0,0
Al-Muqdadiya,370654,0,165456,536110,340291,0,195819,536110,325492,0,210618,536110,536110,19962,18506,80468,0,4007,412839
Al-Musayab,1032,0,715702,716734,1691.5,0,697590.5,699282,746.5,0,715770.5,716517,721565,677045,709,0,0,0,25575
Al-Na'maniya,0,0,72024,72024,0,0,72024,72024,0,0,72024,72024,72024,73309,0,0,0,0,0
Al-Qurna,0,0,119858,119858,0,0,117073,117073,0,0,119858,119858,119858,119380,0,0,0,0,0
Al-Rifa'i,0,0,296472,296472,0,0,296472,296472,0,0,296472,296472,296472,296795,0,0,0,0,0
Al-Rumaitha,0,0,223850,223850,0,0,223850,223850,0,0,223850,223850,223850,222554,0,0,0,0,0
Al-Rutba,24042.5,0,440.5,24483,20362.5,0,.5,20363,24380,0,103,24483,24483,57,24370,0,0,0,0
Al-Salman,5131,0,27031,32162,206.5,0,13956.5,14163,5085,0,27153,32238,14699,7909,6662,0,0,0,0
Al-Samawa,0,0,234049,234049,0,0,234049,234049,0,0,234049,234049,234049,234373,0,0,0,0,0
Al-Shamiya,0,0,200761,200761,0,0,200761,200761,0,0,200761,200761,200761,198567,0,0,0,0,0
Al-Shatra,0,0,337107,337107,0,0,337107,337107,0,0,337107,337107,337107,336121,0,0,0,0,0
Al-Shikhan,0,22944,0,23491,0,25196,0,25196,0,25196,0,25196,25196,0,997,23146,434,0,0
Al-Shirqat,99582,14680,0,114262,82085,27587,0,109672,40811,73451,0,114262,114262,0,114167,0,0,0,0
