district,wfp_pop2003,wfp_pop2005,wfp_pop2007,governorate,wfp_pct_urban03,wfp_pct_rural03,wfp_pct_urban05,wfp_pct_rural05,wfp_pct_urban07,wfp_pct_rural07,landscan_pop
Abu Al-Khaseeb,130311,156592,162739,Basrah,.74999809,.25000191,.92511111,.074888885,.92624998,.073749989,173238
Abu Ghraib,194653,307234,326627,Baghdad,.72777712,.27222288,.56272745,.43727258,.56851697,.431483,105899
Adhamiya,830829,802118,842315,Baghdad,.7277779,.27222207,.95424861,.045751374,.95234323,.047656756,942396
Afaq,113187,134744,142623,Qadissiya,.46250013,.5374999,.33296472,.66703528,.34019759,.65980244,134863
Ain Al-Tamur,20960,22586,24558,Kerbala,.48334923,.51665074,.35327193,.64672804,.26272497,.737275,23173
Akre,113791,190077,102864,Ninewa,.36874622,.062913589,,,.29466093,.70533907,26453
Al Resafa,1337936,1251098,1312058,Baghdad,.72777772,.27222228,.93686426,.063135743,.99599868,.0040013473,1186395
Al Sadr,1167086.919288613,1255434,1316581,Baghdad,.72777796,.27222204,1,0,.99257696,.0074230144,1425430
Al-Ba'aj,24039,124416,133291,Ninewa,.36873415,.062897794,.088027261,.91197276,.12422444,.87577558,111363
Al-Chibayish,70797,60476,64277,Thi-Qar,.57999635,.42000368,.69260532,.30739468,.69541204,.30458796,53589
Al-Daur,48020,50005,53984,Salah al-Din,.43750522,.56249481,.30814919,.69185084,.28317651,.71682352,221122
Al-Hai,139967,153886,163696,Wassit,.47999886,.52000111,.46235526,.53764474,.47440988,.52559012,155549
Al-Hamdaniya,86914,134227,143461,Ninewa,.36875531,.062912762,.25874823,.74125177,.34215569,.65784431,735002
Al-Hawiga,206572.2530921804,206261,215193,Tameem,.42500097,.57499903,.21959071,.78040928,.23005395,.76994604,190113
Al-Hindiya,166147,211924,230546,Kerbala,.48333102,.51666898,.31366435,.68633568,.29539007,.70460993,215570
Al-Ka'im,119335,127782,137567,Anbar,.60000002,.40000001,.60615736,.39384264,.54819834,.45180166,105925
