district,sunni,shia,kurd,total,total_0,kurd_0,shia_0,sunni_0
Abu Al-Khaseeb,0,21.78,0,21.78,10.89,0,10.89,0
Abu Ghraib,7.37,6.94,0,14.31,7.155,0,3.47,3.685
Adhamiya,65.45,64.92,0,130.37,65.185,0,32.46,32.725
Afaq,0,17.21,0,17.21,8.605,0,8.605,0
Ain Al-Tamur,1.344,0,0,1.344,0.672,0,0,0.672
Akre,0,0,3.6,3.6,1.8,1.8,0,0
Al Resafa,71.76,71.3,0,143.07,71.535,0,35.65,35.88
Al Sadr,44.76,150.6,0,195.36,97.68,0,75.3,22.38
Al-Ba'aj,10.91,0,1.92,12.83,6.415,0.96,0,5.455
Al-Chibayish,0,7.37,0,7.37,3.685,0,3.685,0
Al-Daur,20.23,9.13,0,29.36,14.68,0,4.565,10.115
Al-Hai,0,20.65,0,20.65,10.325,0,10.325,0
Al-Hamdaniya,29.96,0,59.63,89.6,44.8,29.815,0,14.98
Al-Hawiga,20.97,0,4.8,25.77,12.885,2.4,0,10.485
Al-Hindiya,0,28.54,0,28.54,14.27,0,14.27,0
Al-Ka'im,13.87,0,2,13.87,6.935,1,0,6.935
Al-Kahla,0,5.82,0,5.82,2.91,0,2.91,0
Al-Khalis,7.37,4.68,0,12.05,6.025,0,2.34,3.685
Al-Khidhir,0,10.19,0,10.19,5.095,0,5.095,0
Al-Mahawil,0.3,25.36,0,25.66,12.83,0,12.68,0.15
Al-Maimouna,0,12.5,0,12.5,6.25,0,6.25,0
Al-Manathera,0,23.52,0,23.52,11.76,0,11.76,0
Al-Mejar Al-Kabi,0,15.24,0,15.24,7.62,0,7.62,0
Al-Midaina,0,29.09,0,29.09,14.545,0,14.545,0
Al-Muqdadiya,45.13,26,0,71.13,35.565,0,13,22.565
Al-Musayab,0.22,92.55,0,92.77,46.385,0,46.275,0.11
Al-Na'maniya,0,9.55,0,9.55,4.775,0,4.775,0
Al-Qurna,0,15.53,0,15.53,7.765,0,7.765,0
Al-Rifa'i,0,39.33,0,39.33,19.665,0,19.665,0
Al-Rumaitha,0,29.7,0,29.7,14.85,0,14.85,0
Al-Rutba,2.7,0,0,2.7,1.35,0,0,1.35
Al-Salman,0.2,1.85,0,1.87,0.935,0,0.925,0.1
Al-Samawa,0,31.05,0,31.05,15.525,0,15.525,0
Al-Shamiya,0,26.64,0,26.64,13.32,0,13.32,0
Al-Shatra,0,44.72,0,44.72,22.36,0,22.36,0
Al-Shikhan,0,0,3.34,3.34,1.67,1.67,0,0
Al-Shirqat,10.89,0,3.66,14.55,7.275,1.83,0,5.445
Al-Suwaira,3.78,44.03,0,47.81,23.905,0,22.015,1.89
Al-Zubair,0.1,45.25,0,45.26,22.63,0,22.625,0.05
Ali Al-Gharbi,0,5.94,0,5.94,2.97,0,2.97,0
Amara,0,56.58,0,56.58,28.29,0,28.29,0
Amedi,0,0,11.42,11.42,5.71,5.71,0,0
Ana,3.47,0,0.5,3.47,1.735,0.25,0,1.735
Ba'quba,7.32,6.9,0,14.22,7.11,0,3.45,3.66
Badra,0,2.61,0,2.61,1.305,0,1.305,0
Baiji,13.05,0,0,13.05,6.525,0,0,6.525
Balad,22.04,0.5,0,22.46,11.23,0,0.25,11.02
Baladrooz,8.45,2.78,2.78,14.02,7.01,1.39,1.39,4.225
Basrah,0,133.48,0,133.48,66.74,0,66.74,0
Chamchamal,0,0,29.49,29.49,14.745,14.745,0,0
Choman,0,0,1.38,1.38,0.69,0.69,0,0
Dahuk,0,0,22.79,22.79,11.395,11.395,0,0
Daquq,1.31,0,5.42,6.73,3.365,2.71,0,0.655
Darbandihkan,0,0,6.6,6.6,3.3,3.3,0,0
Dibis,0,0,1.43,1.43,0.715,0.715,0,0
Diwaniya,0,58.6,0,58.6,29.3,0,29.3,0
Dokan,0,0,5.5,5.5,2.75,2.75,0,0
Erbil,59.67,0,80.18,139.85,69.925,40.09,0,29.835
Falluja,21.16,18.95,0,40.11,20.055,0,9.475,10.58
Fao,0,2.13,0,2.13,1.065,0,1.065,0
Haditha,8.57,0,0,8.57,4.285,0,0,4.285
Halabja,0,0,19.85,19.85,9.925,9.925,0,0
Hamza,0,21.57,0,21.57,10.785,0,10.785,0
Hashimiya,0,37.48,0,37.48,18.74,0,18.74,0
Hatra,4.7,0,0,4.7,2.35,0,0,2.35
Heet,14.27,0,0,14.27,7.135,0,0,7.135
