week,country,SIGACT,SIG_1,df,idf,suicide,ied_attack,ied_clear,ied_total,country_1,country_2
2292,Iraq,10,10,2,0,0,8,0,8,Iraq,Iraq
2293,Iraq,57,57,12,9,2,34,0,34,Iraq,Iraq
2294,Iraq,76,76,31,5,0,35,0,35,Iraq,Iraq
2295,Iraq,113,113,63,8,0,42,0,42,Iraq,Iraq
2296,Iraq,114,114,27,4,0,83,0,83,Iraq,Iraq
2297,Iraq,121,121,33,2,0,83,3,86,Iraq,Iraq
2298,Iraq,173,173,65,9,0,97,2,99,Iraq,Iraq
2299,Iraq,122,122,41,13,0,65,3,68,Iraq,Iraq
2300,Iraq,107,107,49,5,0,47,6,53,Iraq,Iraq
2301,Iraq,241,241,124,28,0,80,9,89,Iraq,Iraq
2302,Iraq,380,380,180,83,0,113,4,117,Iraq,Iraq
2303,Iraq,226,226,93,26,0,98,9,107,Iraq,Iraq
2304,Iraq,309,309,126,41,0,137,5,142,Iraq,Iraq
2305,Iraq,312,312,123,38,0,141,10,151,Iraq,Iraq
2306,Iraq,382,382,153,48,0,170,11,181,Iraq,Iraq
2307,Iraq,409,409,136,98,0,162,13,175,Iraq,Iraq
2308,Iraq,439,439,152,60,0,211,16,227,Iraq,Iraq
2309,Iraq,366,366,137,65,0,148,16,164,Iraq,Iraq
2310,Iraq,391,391,129,62,0,177,23,200,Iraq,Iraq
2311,Iraq,327,327,134,47,0,139,7,146,Iraq,Iraq
2312,Iraq,364,364,111,62,0,179,12,191,Iraq,Iraq
2313,Iraq,357,357,147,49,0,147,14,161,Iraq,Iraq
2314,Iraq,239,239,97,21,0,117,4,121,Iraq,Iraq
2315,Iraq,316,316,122,41,0,146,7,153,Iraq,Iraq
2316,Iraq,312,312,117,42,0,149,4,153,Iraq,Iraq
2317,Iraq,328,328,121,48,0,152,7,159,Iraq,Iraq
2318,Iraq,287,287,118,39,0,120,10,130,Iraq,Iraq
2319,Iraq,615,615,298,150,0,159,8,167,Iraq,Iraq
2320,Iraq,591,591,272,137,0,175,7,182,Iraq,Iraq
2321,Iraq,560,560,228,127,0,194,11,205,Iraq,Iraq
2322,Iraq,372,372,150,72,0,143,7,150,Iraq,Iraq
2323,Iraq,194,194,72,30,0,87,5,92,Iraq,Iraq
2324,Iraq,81,81,31,11,0,35,4,39,Iraq,Iraq
2325,Iraq,0,0,0,0,0,0,0,0,Iraq,Iraq
2326,Iraq,0,0,0,0,0,0,0,0,Iraq,Iraq
2327,Iraq,0,0,0,0,0,0,0,0,Iraq,Iraq
2328,Iraq,70,70,29,2,0,26,0,26,Iraq,Iraq
2329,Iraq,575,575,180,129,1,211,5,216,Iraq,Iraq
2330,Iraq,603,603,188,53,0,272,0,272,Iraq,Iraq
2331,Iraq,635,635,207,89,0,247,0,247,Iraq,Iraq
2332,Iraq,733,733,282,63,0,291,0,291,Iraq,Iraq
2333,Iraq,853,853,327,79,0,318,0,318,Iraq,Iraq
2334,Iraq,570,570,192,46,0,259,0,259,Iraq,Iraq
2335,Iraq,472,472,151,34,0,234,0,234,Iraq,Iraq
2336,Iraq,479,479,167,37,0,219,0,219,Iraq,Iraq
2337,Iraq,472,472,161,33,0,222,0,222,Iraq,Iraq
2338,Iraq,477,477,144,37,0,234,0,234,Iraq,Iraq
2339,Iraq,537,537,221,35,0,238,0,238,Iraq,Iraq
2340,Iraq,557,557,195,45,0,267,0,267,Iraq,Iraq
2341,Iraq,474,474,154,29,0,248,0,248,Iraq,Iraq
2342,Iraq,568,568,201,31,0,278,0,278,Iraq,Iraq
2343,Iraq,655,655,266,34,0,300,0,300,Iraq,Iraq
2344,Iraq,767,767,290,82,0,292,0,292,Iraq,Iraq
2345,Iraq,407,407,135,14,0,218,0,218,Iraq,Iraq
2346,Iraq,445,445,132,18,0,248,0,248,Iraq,Iraq
2347,Iraq,491,491,144,18,4,268,0,268,Iraq,Iraq
2348,Iraq,445,445,124,11,0,270,0,270,Iraq,Iraq
2349,Iraq,421,421,146,11,1,215,0,215,Iraq,Iraq
2350,Iraq,424,424,129,14,0,245,0,245,Iraq,Iraq
2351,Iraq,403,402,132,7,0,227,0,227,Iraq,Iraq
2352,Iraq,406,406,86,3,0,275,0,275,Iraq,Iraq
2353,Iraq,435,435,94,9,0,260,0,260,Iraq,Iraq
2354,Iraq,520,520,117,11,1,322,0,322,Iraq,Iraq
2355,Iraq,484,484,105,9,0,293,0,293,Iraq,Iraq
2356,Iraq,444,444,113,6,0,255,0,255,Iraq,Iraq
2357,Iraq,552,552,151,19,2,310,0,310,Iraq,Iraq
2358,Iraq,559,559,155,8,0,328,0,328,Iraq,Iraq
2359,Iraq,501,501,153,15,0,286,0,286,Iraq,Iraq
2360,Iraq,542,541,156,18,0,307,0,307,Iraq,Iraq
2361,Iraq,432,431,121,12,1,245,0,245,Iraq,Iraq
2362,Iraq,469,465,152,16,0,248,0,248,Iraq,Iraq
2363,Iraq,525,522,151,20,1,291,0,291,Iraq,Iraq
2364,Iraq,616,615,200,15,0,338,0,338,Iraq,Iraq
2365,Iraq,615,615,191,18,0,345,0,345,Iraq,Iraq
2366,Iraq,616,615,185,21,0,360,0,360,Iraq,Iraq
2367,Iraq,629,623,184,18,1,333,0,333,Iraq,Iraq
2368,Iraq,539,535,142,8,2,299,0,299,Iraq,Iraq
2369,Iraq,609,605,177,5,1,320,0,320,Iraq,Iraq
2370,Iraq,665,660,183,11,0,379,0,379,Iraq,Iraq
2371,Iraq,651,651,214,4,0,350,0,350,Iraq,Iraq
2372,Iraq,628,627,161,2,2,374,0,374,Iraq,Iraq
2373,Iraq,665,665,184,1,0,366,0,366,Iraq,Iraq
2374,Iraq,588,588,157,1,0,312,0,312,Iraq,Iraq
2375,Iraq,590,588,150,1,0,347,0,347,Iraq,Iraq
2376,Iraq,684,684,181,1,1,387,0,387,Iraq,Iraq
2377,Iraq,598,598,161,1,0,336,0,336,Iraq,Iraq
2378,Iraq,666,666,182,0,2,378,0,378,Iraq,Iraq
2379,Iraq,768,767,204,2,0,428,0,428,Iraq,Iraq
