district,half,SIGACT,SIG_1,df,idf,suicide,ied_attack,ied_clear,ied_total,district_1,district_2
Abu Al-Khaseeb,88,25,25,6,5,0,14,0,14,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,89,21,21,14,3,0,3,0,3,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,90,7,7,2,0,0,5,0,5,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,91,6,6,2,0,0,3,0,3,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,92,26,23,5,0,0,4,0,4,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,93,176,168,38,2,0,9,2,11,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,94,369,360,78,16,0,10,0,10,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,95,233,219,67,100,0,8,4,12,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,96,19,16,8,1,0,3,2,5,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,97,10,9,3,0,0,4,2,6,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,98,3,1,0,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Ghraib,88,176,176,65,19,0,89,3,92,Abu Ghraib,Abu Ghraib
Abu Ghraib,89,569,569,133,64,0,329,2,331,Abu Ghraib,Abu Ghraib
Abu Ghraib,90,800,800,167,34,0,527,0,527,Abu Ghraib,Abu Ghraib
Abu Ghraib,91,540,540,115,6,0,349,0,349,Abu Ghraib,Abu Ghraib
Abu Ghraib,92,993,969,280,3,0,613,0,613,Abu Ghraib,Abu Ghraib
Abu Ghraib,93,1135,1016,345,8,0,427,186,613,Abu Ghraib,Abu Ghraib
Abu Ghraib,94,1055,956,388,5,8,267,271,538,Abu Ghraib,Abu Ghraib
Abu Ghraib,95,417,391,108,11,1,110,161,271,Abu Ghraib,Abu Ghraib
Abu Ghraib,96,207,204,34,3,0,77,79,156,Abu Ghraib,Abu Ghraib
Abu Ghraib,97,193,190,15,1,3,81,80,161,Abu Ghraib,Abu Ghraib
Abu Ghraib,98,41,41,0,0,0,24,15,39,Abu Ghraib,Abu Ghraib
Adhamiya,88,114,114,37,17,0,56,4,60,Adhamiya,Adhamiya
Adhamiya,89,183,183,65,49,0,56,3,59,Adhamiya,Adhamiya
Adhamiya,90,103,103,43,6,3,46,0,46,Adhamiya,Adhamiya
Adhamiya,91,124,123,42,2,0,66,0,66,Adhamiya,Adhamiya
Adhamiya,92,485,316,137,3,0,208,0,208,Adhamiya,Adhamiya
Adhamiya,93,1360,628,311,7,7,356,20,376,Adhamiya,Adhamiya
Adhamiya,94,1225,768,322,24,7,294,91,385,Adhamiya,Adhamiya
Adhamiya,95,848,622,217,60,1,229,121,350,Adhamiya,Adhamiya
Adhamiya,96,462,413,123,19,1,181,83,264,Adhamiya,Adhamiya
Adhamiya,97,258,241,46,7,1,116,65,181,Adhamiya,Adhamiya
Adhamiya,98,57,52,8,1,0,25,15,40,Adhamiya,Adhamiya
Afaq,88,1,1,1,0,0,0,0,0,Afaq,Afaq
Afaq,89,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,90,4,4,2,0,0,2,0,2,Afaq,Afaq
Afaq,91,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,92,4,4,2,0,0,2,0,2,Afaq,Afaq
Afaq,93,22,16,5,0,0,12,0,12,Afaq,Afaq
Afaq,94,38,23,4,2,2,9,8,17,Afaq,Afaq
Afaq,95,46,29,17,2,1,13,0,13,Afaq,Afaq
Afaq,96,1,1,1,0,0,0,0,0,Afaq,Afaq
Afaq,97,4,3,2,0,0,1,0,1,Afaq,Afaq
Afaq,98,0,0,0,0,0,0,0,0,Afaq,Afaq
Ain Al-Tamur,88,1,1,0,0,0,1,0,1,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,89,1,1,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,90,3,3,0,0,0,1,0,1,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,91,4,4,1,0,0,1,0,1,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,92,12,12,6,0,0,5,0,5,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,93,18,17,7,0,0,6,2,8,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,94,4,2,0,0,2,0,2,2,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,95,1,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,96,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,97,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,98,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Akre,88,1,1,0,0,0,1,0,1,Akre,Akre
Akre,89,0,0,0,0,0,0,0,0,Akre,Akre
Akre,90,2,2,2,0,0,0,0,0,Akre,Akre
Akre,91,0,0,0,0,0,0,0,0,Akre,Akre
Akre,92,5,5,0,0,0,5,0,5,Akre,Akre
Akre,93,4,4,1,0,0,2,0,2,Akre,Akre
Akre,94,2,2,0,0,0,0,2,2,Akre,Akre
Akre,95,5,4,1,1,0,2,0,2,Akre,Akre
Akre,96,1,1,0,0,0,1,0,1,Akre,Akre
Akre,97,13,12,0,1,0,6,4,10,Akre,Akre
Akre,98,1,1,0,0,0,0,1,1,Akre,Akre
Al Resafa,88,112,112,46,14,0,48,4,52,Al Resafa,Al Resafa
