district,month,SIGACT,SIG_1,df,idf,suicide,ied_attack,ied_clear,ied_total,district_1,district_2
Abu Al-Khaseeb,529,2,2,0,0,0,2,0,2,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,530,2,2,0,0,0,2,0,2,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,531,5,5,1,2,0,2,0,2,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,532,11,11,2,2,0,7,0,7,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,533,5,5,3,1,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,534,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,535,12,12,9,1,0,2,0,2,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,536,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,537,1,1,1,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,538,2,2,1,1,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,539,6,6,3,1,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,540,1,1,0,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,541,2,2,0,0,0,2,0,2,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,542,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,543,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,544,2,2,1,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,545,2,2,1,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,546,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,547,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,548,3,3,1,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,549,1,1,1,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,550,2,2,0,0,0,2,0,2,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,551,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,552,3,3,1,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,553,2,2,1,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,554,4,4,0,0,0,3,0,3,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,555,8,7,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,556,6,4,1,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,557,3,3,2,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,558,17,17,2,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,559,13,12,1,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,560,23,21,5,0,0,3,1,4,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,561,40,40,10,0,0,2,1,3,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,562,47,45,10,2,0,2,0,2,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,563,36,33,10,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,564,44,43,7,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,565,30,30,4,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,566,44,42,3,0,0,2,0,2,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,567,62,61,9,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,568,86,85,18,4,0,2,0,2,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,569,103,99,37,12,0,4,0,4,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,570,143,135,46,53,0,4,0,4,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,571,76,75,20,47,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,572,1,1,0,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,573,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,574,4,3,0,0,0,2,1,3,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,575,9,5,1,0,0,0,3,3,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,576,1,1,1,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,577,4,3,2,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,578,1,1,0,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,579,7,7,3,1,0,1,1,2,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,580,3,2,1,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,581,3,2,1,0,0,0,1,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,582,2,2,1,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,583,5,4,2,0,0,1,1,2,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,584,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,585,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,586,2,2,0,0,0,1,1,2,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,587,1,1,0,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,588,2,1,0,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,589,1,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Ghraib,529,16,16,5,1,0,10,0,10,Abu Ghraib,Abu Ghraib
Abu Ghraib,530,30,30,6,3,0,21,0,21,Abu Ghraib,Abu Ghraib
Abu Ghraib,531,45,45,23,7,0,15,0,15,Abu Ghraib,Abu Ghraib
Abu Ghraib,532,33,33,13,3,0,17,0,17,Abu Ghraib,Abu Ghraib
Abu Ghraib,533,52,52,18,5,0,26,3,29,Abu Ghraib,Abu Ghraib
Abu Ghraib,534,63,63,17,11,0,35,0,35,Abu Ghraib,Abu Ghraib
Abu Ghraib,535,68,68,26,5,0,35,2,37,Abu Ghraib,Abu Ghraib
Abu Ghraib,536,13,13,3,2,0,8,0,8,Abu Ghraib,Abu Ghraib
Abu Ghraib,537,105,105,20,14,0,60,0,60,Abu Ghraib,Abu Ghraib
Abu Ghraib,538,207,207,43,21,0,124,0,124,Abu Ghraib,Abu Ghraib
Abu Ghraib,539,113,113,24,11,0,67,0,67,Abu Ghraib,Abu Ghraib
Abu Ghraib,540,143,143,25,7,0,94,0,94,Abu Ghraib,Abu Ghraib
Abu Ghraib,541,108,108,19,5,0,82,0,82,Abu Ghraib,Abu Ghraib
Abu Ghraib,542,128,128,16,6,0,97,0,97,Abu Ghraib,Abu Ghraib
Abu Ghraib,543,133,133,35,1,0,85,0,85,Abu Ghraib,Abu Ghraib
Abu Ghraib,544,157,157,39,10,0,90,0,90,Abu Ghraib,Abu Ghraib
Abu Ghraib,545,131,131,33,5,0,79,0,79,Abu Ghraib,Abu Ghraib
Abu Ghraib,546,128,128,16,3,0,89,0,89,Abu Ghraib,Abu Ghraib
Abu Ghraib,547,99,99,19,3,0,63,0,63,Abu Ghraib,Abu Ghraib
Abu Ghraib,548,103,103,25,0,0,72,0,72,Abu Ghraib,Abu Ghraib
Abu Ghraib,549,95,95,22,0,0,58,0,58,Abu Ghraib,Abu Ghraib
Abu Ghraib,550,81,81,23,0,0,48,0,48,Abu Ghraib,Abu Ghraib
Abu Ghraib,551,34,34,10,0,0,19,0,19,Abu Ghraib,Abu Ghraib
Abu Ghraib,552,142,142,55,0,0,65,0,65,Abu Ghraib,Abu Ghraib
Abu Ghraib,553,153,153,49,0,0,88,0,88,Abu Ghraib,Abu Ghraib
Abu Ghraib,554,144,143,50,0,0,77,0,77,Abu Ghraib,Abu Ghraib
Abu Ghraib,555,196,191,62,2,0,116,0,116,Abu Ghraib,Abu Ghraib
Abu Ghraib,556,210,198,38,0,0,156,0,156,Abu Ghraib,Abu Ghraib
Abu Ghraib,557,148,142,26,1,0,111,0,111,Abu Ghraib,Abu Ghraib
Abu Ghraib,558,165,150,32,0,0,111,0,111,Abu Ghraib,Abu Ghraib
Abu Ghraib,559,183,163,41,1,0,115,1,116,Abu Ghraib,Abu Ghraib
Abu Ghraib,560,224,198,79,1,0,72,42,114,Abu Ghraib,Abu Ghraib
Abu Ghraib,561,233,209,85,3,0,56,53,109,Abu Ghraib,Abu Ghraib
Abu Ghraib,562,179,159,61,2,0,39,45,84,Abu Ghraib,Abu Ghraib
Abu Ghraib,563,151,137,47,1,0,34,45,79,Abu Ghraib,Abu Ghraib
Abu Ghraib,564,194,184,75,0,0,54,46,100,Abu Ghraib,Abu Ghraib
Abu Ghraib,565,207,197,84,1,0,52,50,102,Abu Ghraib,Abu Ghraib
Abu Ghraib,566,180,157,48,0,0,51,62,113,Abu Ghraib,Abu Ghraib
Abu Ghraib,567,182,169,86,1,1,40,34,74,Abu Ghraib,Abu Ghraib
Abu Ghraib,568,148,130,49,0,3,34,48,82,Abu Ghraib,Abu Ghraib
Abu Ghraib,569,144,119,46,3,4,36,31,67,Abu Ghraib,Abu Ghraib
Abu Ghraib,570,110,101,35,5,1,28,36,64,Abu Ghraib,Abu Ghraib
Abu Ghraib,571,96,89,31,4,0,19,37,56,Abu Ghraib,Abu Ghraib
Abu Ghraib,572,67,59,14,2,0,19,25,44,Abu Ghraib,Abu Ghraib
Abu Ghraib,573,41,40,8,0,0,10,19,29,Abu Ghraib,Abu Ghraib
Abu Ghraib,574,56,55,10,0,0,23,19,42,Abu Ghraib,Abu Ghraib
Abu Ghraib,575,47,47,10,0,0,11,25,36,Abu Ghraib,Abu Ghraib
Abu Ghraib,576,48,48,11,3,0,14,18,32,Abu Ghraib,Abu Ghraib
Abu Ghraib,577,37,36,7,0,0,13,15,28,Abu Ghraib,Abu Ghraib
Abu Ghraib,578,30,29,3,0,0,13,12,25,Abu Ghraib,Abu Ghraib
Abu Ghraib,579,32,31,3,0,0,11,15,26,Abu Ghraib,Abu Ghraib
Abu Ghraib,580,36,36,6,0,0,15,12,27,Abu Ghraib,Abu Ghraib
Abu Ghraib,581,24,24,4,0,0,11,7,18,Abu Ghraib,Abu Ghraib
Abu Ghraib,582,24,22,6,0,1,8,5,13,Abu Ghraib,Abu Ghraib
Abu Ghraib,583,40,39,1,1,1,14,22,36,Abu Ghraib,Abu Ghraib
Abu Ghraib,584,24,24,2,0,0,12,8,20,Abu Ghraib,Abu Ghraib
Abu Ghraib,585,36,36,3,0,0,16,14,30,Abu Ghraib,Abu Ghraib
Abu Ghraib,586,35,35,0,0,0,14,20,34,Abu Ghraib,Abu Ghraib
Abu Ghraib,587,34,34,3,0,1,17,11,28,Abu Ghraib,Abu Ghraib
Abu Ghraib,588,16,16,0,0,0,11,5,16,Abu Ghraib,Abu Ghraib
Abu Ghraib,589,25,25,0,0,0,13,10,23,Abu Ghraib,Abu Ghraib
Adhamiya,529,5,5,0,2,0,3,0,3,Adhamiya,Adhamiya
Adhamiya,530,12,12,4,1,0,7,0,7,Adhamiya,Adhamiya
Adhamiya,531,29,29,14,3,0,11,1,12,Adhamiya,Adhamiya
Adhamiya,532,37,37,12,4,0,21,0,21,Adhamiya,Adhamiya
Adhamiya,533,31,31,7,7,0,14,3,17,Adhamiya,Adhamiya
Adhamiya,534,17,17,2,9,0,6,0,6,Adhamiya,Adhamiya
Adhamiya,535,64,64,33,18,0,10,3,13,Adhamiya,Adhamiya
Adhamiya,536,3,3,0,2,0,1,0,1,Adhamiya,Adhamiya
Adhamiya,537,23,23,9,6,0,6,0,6,Adhamiya,Adhamiya
Adhamiya,538,55,55,17,7,0,25,0,25,Adhamiya,Adhamiya
Adhamiya,539,21,21,4,7,0,8,0,8,Adhamiya,Adhamiya
Adhamiya,540,33,33,17,2,0,14,0,14,Adhamiya,Adhamiya
Adhamiya,541,10,10,3,0,3,3,0,3,Adhamiya,Adhamiya
Adhamiya,542,12,12,10,0,0,2,0,2,Adhamiya,Adhamiya
Adhamiya,543,18,18,5,0,0,11,0,11,Adhamiya,Adhamiya
Adhamiya,544,14,14,3,3,0,6,0,6,Adhamiya,Adhamiya
Adhamiya,545,16,16,5,1,0,10,0,10,Adhamiya,Adhamiya
Adhamiya,546,25,24,5,2,0,16,0,16,Adhamiya,Adhamiya
Adhamiya,547,17,17,10,0,0,5,0,5,Adhamiya,Adhamiya
Adhamiya,548,32,32,12,0,0,17,0,17,Adhamiya,Adhamiya
Adhamiya,549,22,22,7,0,0,11,0,11,Adhamiya,Adhamiya
Adhamiya,550,20,20,5,0,0,13,0,13,Adhamiya,Adhamiya
Adhamiya,551,8,8,3,0,0,4,0,4,Adhamiya,Adhamiya
Adhamiya,552,16,16,4,0,0,12,0,12,Adhamiya,Adhamiya
Adhamiya,553,44,44,17,0,0,25,0,25,Adhamiya,Adhamiya
Adhamiya,554,70,62,23,2,0,33,0,33,Adhamiya,Adhamiya
Adhamiya,555,91,60,28,0,0,39,0,39,Adhamiya,Adhamiya
Adhamiya,556,142,76,32,0,0,60,0,60,Adhamiya,Adhamiya
Adhamiya,557,122,58,33,1,0,39,0,39,Adhamiya,Adhamiya
Adhamiya,558,135,77,27,0,0,57,0,57,Adhamiya,Adhamiya
Adhamiya,559,220,97,61,3,0,48,1,49,Adhamiya,Adhamiya
Adhamiya,560,273,139,77,1,1,81,5,86,Adhamiya,Adhamiya
Adhamiya,561,215,86,38,2,3,57,3,60,Adhamiya,Adhamiya
Adhamiya,562,251,89,42,1,1,35,5,40,Adhamiya,Adhamiya
Adhamiya,563,266,140,66,0,2,78,6,84,Adhamiya,Adhamiya
Adhamiya,564,224,108,55,1,0,41,8,49,Adhamiya,Adhamiya
Adhamiya,565,132,85,28,1,1,32,13,45,Adhamiya,Adhamiya
Adhamiya,566,160,116,31,3,2,59,18,77,Adhamiya,Adhamiya
Adhamiya,567,234,138,48,1,0,73,21,94,Adhamiya,Adhamiya
Adhamiya,568,259,179,91,9,1,50,15,65,Adhamiya,Adhamiya
Adhamiya,569,216,142,69,9,3,39,16,55,Adhamiya,Adhamiya
Adhamiya,570,237,167,73,17,1,63,21,84,Adhamiya,Adhamiya
Adhamiya,571,166,112,49,14,0,32,17,49,Adhamiya,Adhamiya
Adhamiya,572,152,125,41,14,0,42,31,73,Adhamiya,Adhamiya
Adhamiya,573,141,103,21,8,0,55,17,72,Adhamiya,Adhamiya
Adhamiya,574,76,53,15,2,0,16,20,36,Adhamiya,Adhamiya
Adhamiya,575,76,62,18,5,0,21,15,36,Adhamiya,Adhamiya
Adhamiya,576,61,51,16,4,1,20,9,29,Adhamiya,Adhamiya
Adhamiya,577,71,56,18,2,0,19,17,36,Adhamiya,Adhamiya
Adhamiya,578,90,88,41,6,0,27,11,38,Adhamiya,Adhamiya
Adhamiya,579,93,90,23,2,0,47,17,64,Adhamiya,Adhamiya
Adhamiya,580,79,70,19,4,0,32,14,46,Adhamiya,Adhamiya
Adhamiya,581,68,58,6,1,0,36,15,51,Adhamiya,Adhamiya
Adhamiya,582,42,41,5,2,0,17,16,33,Adhamiya,Adhamiya
Adhamiya,583,58,52,13,1,1,21,16,37,Adhamiya,Adhamiya
Adhamiya,584,55,49,8,2,0,33,5,38,Adhamiya,Adhamiya
Adhamiya,585,39,37,6,0,0,16,12,28,Adhamiya,Adhamiya
Adhamiya,586,38,36,7,1,0,18,9,27,Adhamiya,Adhamiya
Adhamiya,587,26,26,7,1,0,11,7,18,Adhamiya,Adhamiya
Adhamiya,588,33,30,4,1,0,13,10,23,Adhamiya,Adhamiya
Adhamiya,589,24,22,4,0,0,12,5,17,Adhamiya,Adhamiya
Afaq,529,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,530,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,531,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,532,1,1,1,0,0,0,0,0,Afaq,Afaq
Afaq,533,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,534,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,535,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,536,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,537,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,538,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,539,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,540,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,541,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,542,4,4,2,0,0,2,0,2,Afaq,Afaq
Afaq,543,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,544,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,545,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,546,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,547,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,548,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,549,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,550,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,551,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,552,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,553,1,1,1,0,0,0,0,0,Afaq,Afaq
Afaq,554,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,555,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,556,1,1,1,0,0,0,0,0,Afaq,Afaq
Afaq,557,2,2,0,0,0,2,0,2,Afaq,Afaq
Afaq,558,1,1,1,0,0,0,0,0,Afaq,Afaq
Afaq,559,7,6,0,0,0,6,0,6,Afaq,Afaq
Afaq,560,6,3,1,0,0,2,0,2,Afaq,Afaq
Afaq,561,4,4,1,0,0,3,0,3,Afaq,Afaq
Afaq,562,2,1,1,0,0,0,0,0,Afaq,Afaq
Afaq,563,2,1,1,0,0,1,0,1,Afaq,Afaq
Afaq,564,2,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,565,3,2,0,0,0,1,0,1,Afaq,Afaq
Afaq,566,1,1,0,0,0,0,1,1,Afaq,Afaq
Afaq,567,14,10,0,0,1,4,4,8,Afaq,Afaq
Afaq,568,16,8,4,2,1,3,2,5,Afaq,Afaq
Afaq,569,2,2,0,0,0,1,1,2,Afaq,Afaq
Afaq,570,5,0,2,0,0,1,0,1,Afaq,Afaq
Afaq,571,6,3,1,1,1,2,0,2,Afaq,Afaq
Afaq,572,10,5,2,0,0,2,0,2,Afaq,Afaq
Afaq,573,10,8,6,0,0,2,0,2,Afaq,Afaq
Afaq,574,9,8,5,1,0,2,0,2,Afaq,Afaq
Afaq,575,6,5,1,0,0,4,0,4,Afaq,Afaq
Afaq,576,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,577,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,578,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,579,1,1,1,0,0,0,0,0,Afaq,Afaq
Afaq,580,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,581,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,582,1,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,583,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,584,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,585,2,2,2,0,0,0,0,0,Afaq,Afaq
Afaq,586,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,587,1,1,0,0,0,1,0,1,Afaq,Afaq
Afaq,588,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,589,0,0,0,0,0,0,0,0,Afaq,Afaq
Ain Al-Tamur,529,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,530,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,531,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,532,1,1,0,0,0,1,0,1,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,533,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,534,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,535,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,536,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,537,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,538,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,539,1,1,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,540,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,541,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,542,2,2,0,0,0,1,0,1,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,543,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,544,1,1,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,545,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,546,1,1,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,547,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,548,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,549,1,1,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,550,2,2,1,0,0,1,0,1,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,551,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,552,1,1,1,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,553,1,1,0,0,0,1,0,1,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,554,2,2,1,0,0,1,0,1,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,555,4,4,3,0,0,1,0,1,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,556,2,2,1,0,0,1,0,1,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,557,2,2,0,0,0,1,0,1,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,558,3,3,0,0,0,3,0,3,Ain Al-Tamur,Ain Al-Tamur
