district,quarter,SIGACT,SIG_1,df,idf,suicide,ied_attack,ied_clear,ied_total,district_1,district_2
Abu Al-Khaseeb,176,4,4,0,0,0,4,0,4,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,177,21,21,6,5,0,10,0,10,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,178,12,12,9,1,0,2,0,2,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,179,9,9,5,2,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,180,3,3,0,0,0,3,0,3,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,181,4,4,2,0,0,2,0,2,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,182,3,3,1,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,183,3,3,1,0,0,2,0,2,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,184,9,9,2,0,0,4,0,4,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,185,17,14,3,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,186,53,50,8,0,0,4,1,5,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,187,123,118,30,2,0,5,1,6,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,188,118,115,14,0,0,3,0,3,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,189,251,245,64,16,0,7,0,7,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,190,220,211,66,100,0,6,0,6,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,191,13,8,1,0,0,2,4,6,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,192,6,5,3,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,193,13,11,5,1,0,2,2,4,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,194,7,6,3,0,0,2,1,3,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,195,3,3,0,0,0,2,1,3,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,196,3,1,0,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Ghraib,176,46,46,11,4,0,31,0,31,Abu Ghraib,Abu Ghraib
Abu Ghraib,177,130,130,54,15,0,58,3,61,Abu Ghraib,Abu Ghraib
Abu Ghraib,178,144,144,46,18,0,78,2,80,Abu Ghraib,Abu Ghraib
Abu Ghraib,179,425,425,87,46,0,251,0,251,Abu Ghraib,Abu Ghraib
Abu Ghraib,180,379,379,60,18,0,273,0,273,Abu Ghraib,Abu Ghraib
Abu Ghraib,181,421,421,107,16,0,254,0,254,Abu Ghraib,Abu Ghraib
Abu Ghraib,182,330,330,60,6,0,224,0,224,Abu Ghraib,Abu Ghraib
Abu Ghraib,183,210,210,55,0,0,125,0,125,Abu Ghraib,Abu Ghraib
Abu Ghraib,184,439,438,154,0,0,230,0,230,Abu Ghraib,Abu Ghraib
Abu Ghraib,185,554,531,126,3,0,383,0,383,Abu Ghraib,Abu Ghraib
Abu Ghraib,186,572,511,152,2,0,298,43,341,Abu Ghraib,Abu Ghraib
Abu Ghraib,187,563,505,193,6,0,129,143,272,Abu Ghraib,Abu Ghraib
Abu Ghraib,188,581,538,207,1,0,157,158,315,Abu Ghraib,Abu Ghraib
Abu Ghraib,189,474,418,181,4,8,110,113,223,Abu Ghraib,Abu Ghraib
Abu Ghraib,190,273,249,80,11,1,66,98,164,Abu Ghraib,Abu Ghraib
Abu Ghraib,191,144,142,28,0,0,44,63,107,Abu Ghraib,Abu Ghraib
Abu Ghraib,192,115,113,21,3,0,40,45,85,Abu Ghraib,Abu Ghraib
Abu Ghraib,193,92,91,13,0,0,37,34,71,Abu Ghraib,Abu Ghraib
Abu Ghraib,194,88,85,9,1,2,34,35,69,Abu Ghraib,Abu Ghraib
Abu Ghraib,195,105,105,6,0,1,47,45,92,Abu Ghraib,Abu Ghraib
Abu Ghraib,196,41,41,0,0,0,24,15,39,Abu Ghraib,Abu Ghraib
Adhamiya,176,17,17,4,3,0,10,0,10,Adhamiya,Adhamiya
Adhamiya,177,97,97,33,14,0,46,4,50,Adhamiya,Adhamiya
Adhamiya,178,84,84,35,29,0,17,3,20,Adhamiya,Adhamiya
Adhamiya,179,99,99,30,20,0,39,0,39,Adhamiya,Adhamiya
Adhamiya,180,55,55,30,2,3,19,0,19,Adhamiya,Adhamiya
Adhamiya,181,48,48,13,4,0,27,0,27,Adhamiya,Adhamiya
Adhamiya,182,74,73,27,2,0,38,0,38,Adhamiya,Adhamiya
Adhamiya,183,50,50,15,0,0,28,0,28,Adhamiya,Adhamiya
Adhamiya,184,130,122,44,2,0,70,0,70,Adhamiya,Adhamiya
Adhamiya,185,355,194,93,1,0,138,0,138,Adhamiya,Adhamiya
Adhamiya,186,628,313,165,4,1,186,6,192,Adhamiya,Adhamiya
Adhamiya,187,732,315,146,3,6,170,14,184,Adhamiya,Adhamiya
Adhamiya,188,516,309,114,5,3,132,39,171,Adhamiya,Adhamiya
Adhamiya,189,709,459,208,19,4,162,52,214,Adhamiya,Adhamiya
Adhamiya,190,555,404,163,45,1,137,69,206,Adhamiya,Adhamiya
Adhamiya,191,293,218,54,15,0,92,52,144,Adhamiya,Adhamiya
Adhamiya,192,222,195,75,12,1,66,37,103,Adhamiya,Adhamiya
Adhamiya,193,240,218,48,7,0,115,46,161,Adhamiya,Adhamiya
Adhamiya,194,155,142,26,5,1,71,37,108,Adhamiya,Adhamiya
Adhamiya,195,103,99,20,2,0,45,28,73,Adhamiya,Adhamiya
Adhamiya,196,57,52,8,1,0,25,15,40,Adhamiya,Adhamiya
Afaq,176,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,177,1,1,1,0,0,0,0,0,Afaq,Afaq
Afaq,178,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,179,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,180,4,4,2,0,0,2,0,2,Afaq,Afaq
Afaq,181,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,182,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,183,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,184,1,1,1,0,0,0,0,0,Afaq,Afaq
Afaq,185,3,3,1,0,0,2,0,2,Afaq,Afaq
Afaq,186,14,10,2,0,0,8,0,8,Afaq,Afaq
Afaq,187,8,6,3,0,0,4,0,4,Afaq,Afaq
Afaq,188,6,3,0,0,0,1,1,2,Afaq,Afaq
Afaq,189,32,20,4,2,2,8,7,15,Afaq,Afaq
Afaq,190,21,8,5,1,1,5,0,5,Afaq,Afaq
Afaq,191,25,21,12,1,0,8,0,8,Afaq,Afaq
Afaq,192,0,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,193,1,1,1,0,0,0,0,0,Afaq,Afaq
Afaq,194,1,0,0,0,0,0,0,0,Afaq,Afaq
Afaq,195,3,3,2,0,0,1,0,1,Afaq,Afaq
Afaq,196,0,0,0,0,0,0,0,0,Afaq,Afaq
Ain Al-Tamur,176,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,177,1,1,0,0,0,1,0,1,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,178,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,179,1,1,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,180,2,2,0,0,0,1,0,1,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,181,1,1,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,182,1,1,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,183,3,3,1,0,0,1,0,1,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,184,4,4,2,0,0,2,0,2,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,185,8,8,4,0,0,3,0,3,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,186,5,5,1,0,0,4,0,4,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,187,13,12,6,0,0,2,2,4,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,188,4,2,0,0,2,0,2,2,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,189,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,190,1,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,191,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,192,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,193,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,194,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,195,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,196,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Akre,176,1,1,0,0,0,1,0,1,Akre,Akre
Akre,177,0,0,0,0,0,0,0,0,Akre,Akre
Akre,178,0,0,0,0,0,0,0,0,Akre,Akre
