district,week,SIGACT,SIG_1,df,idf,suicide,ied_attack,ied_clear,ied_total,district_1,district_2
Abu Al-Khaseeb,2292,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2293,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2294,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2295,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2296,2,2,0,0,0,2,0,2,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2297,2,2,0,0,0,2,0,2,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2298,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2299,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2300,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2301,1,1,0,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2302,1,1,0,1,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2303,2,2,1,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2304,1,1,0,1,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2305,1,1,1,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2306,2,2,0,1,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2307,3,3,0,0,0,3,0,3,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2308,2,2,1,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2309,4,4,1,1,0,2,0,2,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2310,2,2,2,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2311,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2312,1,1,0,1,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2313,1,1,0,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2314,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2315,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2316,0,0,0,0,0,0,0,0,Abu Al-Khaseeb,Abu Al-Khaseeb
