governorate,month,SIGACT,SIG_1,df,idf,suicide,ied_attack,ied_clear,ied_total,governorate_1,governorate_2
,529,0,0,0,0,0,0,0,0,,
,530,0,0,0,0,0,0,0,0,,
,531,0,0,0,0,0,0,0,0,,
,532,0,0,0,0,0,0,0,0,,
,533,0,0,0,0,0,0,0,0,,
,534,0,0,0,0,0,0,0,0,,
,535,0,0,0,0,0,0,0,0,,
,536,0,0,0,0,0,0,0,0,,
,537,0,0,0,0,0,0,0,0,,
,538,0,0,0,0,0,0,0,0,,
,539,0,0,0,0,0,0,0,0,,
,540,0,0,0,0,0,0,0,0,,
,541,0,0,0,0,0,0,0,0,,
,542,0,0,0,0,0,0,0,0,,
,543,0,0,0,0,0,0,0,0,,
,544,0,0,0,0,0,0,0,0,,
,545,0,0,0,0,0,0,0,0,,
,546,0,0,0,0,0,0,0,0,,
,547,0,0,0,0,0,0,0,0,,
,548,0,0,0,0,0,0,0,0,,
,549,0,0,0,0,0,0,0,0,,
,550,0,0,0,0,0,0,0,0,,
,551,0,0,0,0,0,0,0,0,,
,552,0,0,0,0,0,0,0,0,,
,553,0,0,0,0,0,0,0,0,,
,554,0,0,0,0,0,0,0,0,,
,555,0,0,0,0,0,0,0,0,,
,556,0,0,0,0,0,0,0,0,,
,557,0,0,0,0,0,0,0,0,,
,558,0,0,0,0,0,0,0,0,,
,559,0,0,0,0,0,0,0,0,,
,560,0,0,0,0,0,0,0,0,,
,561,0,0,0,0,0,0,0,0,,
,562,0,0,0,0,0,0,0,0,,
,563,0,0,0,0,0,0,0,0,,
,564,0,0,0,0,0,0,0,0,,
,565,0,0,0,0,0,0,0,0,,
,566,0,0,0,0,0,0,0,0,,
,567,0,0,0,0,0,0,0,0,,
,568,0,0,0,0,0,0,0,0,,
,569,0,0,0,0,0,0,0,0,,
,570,0,0,0,0,0,0,0,0,,
,571,0,0,0,0,0,0,0,0,,
,572,0,0,0,0,0,0,0,0,,
,573,0,0,0,0,0,0,0,0,,
,574,0,0,0,0,0,0,0,0,,
,575,0,0,0,0,0,0,0,0,,
,576,0,0,0,0,0,0,0,0,,
,577,0,0,0,0,0,0,0,0,,
,578,0,0,0,0,0,0,0,0,,
,579,0,0,0,0,0,0,0,0,,
,580,0,0,0,0,0,0,0,0,,
,581,0,0,0,0,0,0,0,0,,
,582,0,0,0,0,0,0,0,0,,
,583,0,0,0,0,0,0,0,0,,
,584,0,0,0,0,0,0,0,0,,
,585,0,0,0,0,0,0,0,0,,
,586,0,0,0,0,0,0,0,0,,
,587,0,0,0,0,0,0,0,0,,
,588,0,0,0,0,0,0,0,0,,
,589,0,0,0,0,0,0,0,0,,
Anbar,529,62,62,22,5,1,34,0,34,Anbar,Anbar
Anbar,530,111,111,36,5,0,69,1,70,Anbar,Anbar
Anbar,531,125,125,68,5,0,52,0,52,Anbar,Anbar
Anbar,532,144,144,30,10,0,99,5,104,Anbar,Anbar
Anbar,533,206,206,67,22,0,117,0,117,Anbar,Anbar
Anbar,534,240,240,96,37,0,107,0,107,Anbar,Anbar
Anbar,535,243,243,120,33,0,88,2,90,Anbar,Anbar
Anbar,536,32,32,11,4,0,17,0,17,Anbar,Anbar
Anbar,537,286,286,80,52,0,89,2,91,Anbar,Anbar
Anbar,538,420,420,161,36,0,151,0,151,Anbar,Anbar
Anbar,539,360,360,142,26,0,120,0,120,Anbar,Anbar
Anbar,540,404,404,123,42,0,149,0,149,Anbar,Anbar
Anbar,541,308,308,80,14,0,143,0,143,Anbar,Anbar
Anbar,542,332,332,55,7,0,195,0,195,Anbar,Anbar
Anbar,543,422,422,68,7,0,209,0,209,Anbar,Anbar
Anbar,544,476,476,82,10,0,270,0,270,Anbar,Anbar
Anbar,545,508,507,122,11,0,265,0,265,Anbar,Anbar
Anbar,546,609,609,138,7,0,317,0,317,Anbar,Anbar
Anbar,547,722,721,165,1,0,373,0,373,Anbar,Anbar
Anbar,548,747,746,172,0,0,372,0,372,Anbar,Anbar
