governorate,quarter,SIGACT,SIG_1,df,idf,suicide,ied_attack,ied_clear,ied_total,governorate_1,governorate_2
,176,0,0,0,0,0,0,0,0,,
,177,0,0,0,0,0,0,0,0,,
,178,0,0,0,0,0,0,0,0,,
,179,0,0,0,0,0,0,0,0,,
,180,0,0,0,0,0,0,0,0,,
,181,0,0,0,0,0,0,0,0,,
,182,0,0,0,0,0,0,0,0,,
,183,0,0,0,0,0,0,0,0,,
,184,0,0,0,0,0,0,0,0,,
,185,0,0,0,0,0,0,0,0,,
,186,0,0,0,0,0,0,0,0,,
,187,0,0,0,0,0,0,0,0,,
,188,0,0,0,0,0,0,0,0,,
,189,0,0,0,0,0,0,0,0,,
,190,0,0,0,0,0,0,0,0,,
,191,0,0,0,0,0,0,0,0,,
,192,0,0,0,0,0,0,0,0,,
,193,0,0,0,0,0,0,0,0,,
,194,0,0,0,0,0,0,0,0,,
,195,0,0,0,0,0,0,0,0,,
,196,0,0,0,0,0,0,0,0,,
Anbar,176,173,173,58,10,1,103,1,104,Anbar,Anbar
Anbar,177,475,475,165,37,0,268,5,273,Anbar,Anbar
Anbar,178,515,515,227,74,0,212,2,214,Anbar,Anbar
Anbar,179,1066,1066,383,114,0,360,2,362,Anbar,Anbar
Anbar,180,1044,1044,258,63,0,487,0,487,Anbar,Anbar
Anbar,181,1406,1405,272,28,0,744,0,744,Anbar,Anbar
Anbar,182,2078,2076,475,8,0,1062,0,1062,Anbar,Anbar
Anbar,183,2296,2296,604,1,0,1286,0,1286,Anbar,Anbar
Anbar,184,2299,2299,781,0,1,1222,0,1222,Anbar,Anbar
Anbar,185,3072,3007,980,14,5,1510,0,1510,Anbar,Anbar
Anbar,186,4171,4080,1353,45,7,1746,267,2013,Anbar,Anbar
Anbar,187,4183,4117,1824,38,37,947,730,1677,Anbar,Anbar
Anbar,188,3582,3412,1478,19,40,659,975,1634,Anbar,Anbar
Anbar,189,1867,1600,580,23,39,350,690,1040,Anbar,Anbar
Anbar,190,1107,1013,309,53,21,240,399,639,Anbar,Anbar
Anbar,191,563,547,118,2,1,101,305,406,Anbar,Anbar
Anbar,192,385,383,87,3,5,94,180,274,Anbar,Anbar
Anbar,193,297,288,51,1,8,77,103,180,Anbar,Anbar
Anbar,194,229,225,52,2,3,72,61,133,Anbar,Anbar
Anbar,195,176,171,37,4,3,65,30,95,Anbar,Anbar
Anbar,196,79,75,16,0,0,24,26,50,Anbar,Anbar
Babylon,176,26,26,3,0,0,23,0,23,Babylon,Babylon
Babylon,177,182,182,50,21,0,99,12,111,Babylon,Babylon
Babylon,178,102,102,25,25,0,51,1,52,Babylon,Babylon
Babylon,179,194,194,45,26,0,107,0,107,Babylon,Babylon
Babylon,180,195,195,32,13,0,117,0,117,Babylon,Babylon
Babylon,181,147,147,30,0,2,100,0,100,Babylon,Babylon
Babylon,182,146,146,33,1,3,89,0,89,Babylon,Babylon
Babylon,183,133,133,21,0,0,100,0,100,Babylon,Babylon
Babylon,184,149,149,25,2,0,108,0,108,Babylon,Babylon
Babylon,185,203,176,21,1,0,158,0,158,Babylon,Babylon
Babylon,186,405,303,71,2,0,210,26,236,Babylon,Babylon
Babylon,187,395,303,77,0,3,145,66,211,Babylon,Babylon
Babylon,188,423,313,100,3,4,124,62,186,Babylon,Babylon
Babylon,189,477,332,114,20,4,148,57,205,Babylon,Babylon
Babylon,190,325,226,102,51,1,79,37,116,Babylon,Babylon
Babylon,191,229,198,77,8,1,57,47,104,Babylon,Babylon
