governorate,year,SIGACT,SIG_1,df,idf,suicide,ied_attack,ied_clear,ied_total,governorate_1,governorate_2
,2004,0,0,0,0,0,0,0,0,,
,2005,0,0,0,0,0,0,0,0,,
,2006,0,0,0,0,0,0,0,0,,
,2007,0,0,0,0,0,0,0,0,,
,2008,0,0,0,0,0,0,0,0,,
,2009,0,0,0,0,0,0,0,0,,
Anbar,2004,2229,2229,833,235,1,943,10,953,Anbar,Anbar
Anbar,2005,6824,6821,1609,100,0,3579,0,3579,Anbar,Anbar
Anbar,2006,13725,13503,4938,97,50,5425,997,6422,Anbar,Anbar
Anbar,2007,7119,6572,2485,97,101,1350,2369,3719,Anbar,Anbar
Anbar,2008,1087,1067,227,10,19,308,374,682,Anbar,Anbar
Anbar,2009,79,75,16,0,0,24,26,50,Anbar,Anbar
Babylon,2004,504,504,123,72,0,280,13,293,Babylon,Babylon
Babylon,2005,621,621,116,14,5,406,0,406,Babylon,Babylon
Babylon,2006,1152,931,194,5,3,621,92,713,Babylon,Babylon
Babylon,2007,1454,1069,393,82,10,408,203,611,Babylon,Babylon
Babylon,2008,324,304,54,16,4,104,119,223,Babylon,Babylon
Babylon,2009,35,32,4,1,1,8,16,24,Babylon,Babylon
Baghdad,2004,6305,6305,2331,1007,2,2720,106,2826,Baghdad,Baghdad
Baghdad,2005,9128,9112,2799,268,9,5358,0,5358,Baghdad,Baghdad
Baghdad,2006,25654,18397,6115,92,57,9617,1552,11169,Baghdad,Baghdad
Baghdad,2007,28516,22090,9066,1376,109,6898,4228,11126,Baghdad,Baghdad
Baghdad,2008,7562,7069,2201,351,32,2462,1869,4331,Baghdad,Baghdad
Baghdad,2009,454,421,49,8,1,192,153,345,Baghdad,Baghdad
Basrah,2004,448,448,242,77,0,115,10,125,Basrah,Basrah
Basrah,2005,230,226,105,11,0,94,0,94,Basrah,Basrah
Basrah,2006,1446,1257,564,15,2,211,15,226,Basrah,Basrah
Basrah,2007,2162,1876,828,167,3,171,34,205,Basrah,Basrah
Basrah,2008,554,473,280,30,0,82,38,120,Basrah,Basrah
Basrah,2009,22,15,2,0,0,7,6,13,Basrah,Basrah
